epochs,MAE,MRSTFT
0,0.014745465,0.110251746
0,0.03978916,0.320224471
0,0.015272728,0.123645934
0,0.0183148,0.149375342
0,0.021083953,0.14585707
1,0.006455861,0.02513068
2,0.018518,0.15714083
3,0.012818093,0.116582233
4,0.021442631,0.138197044
5,0.010969065,0.03075465
6,0.015672896,0.116886822
7,0.011612213,0.071450653
8,0.001447237,0.011363637
9,0.010256695,0.071488831
10,0.014735834,0.1175358
11,0.031975366,0.179646365
12,0.022633294,0.132180525
13,0.04198929,0.323513927
14,0.0209296,0.192950013
15,0.017852463,0.147890823
16,0.023022018,0.196572306
17,0.026048118,0.19121302
18,0.028465679,0.223030463
19,0.016754685,0.118604666
20,0.014644153,0.129056017
21,0.018885633,0.110307834
22,0.010780321,0.1012214
23,0.020097142,0.115710351
24,0.025753109,0.193782757
25,0.0356003,0.207319334
26,0.021301653,0.190403194
27,0.011832937,0.076884716
28,0.01502686,0.126668284
29,0.018859217,0.150352537
30,0.019725624,0.142047504
31,0.034059037,0.301081767
32,0.016186558,0.146204027
33,0.014957138,0.099262382
34,0.050106924,0.228911858
35,0.025657307,0.189956782
36,0.01571131,0.134373593
37,0.022435311,0.196821244
38,0.022077767,0.159916906
39,0.030439898,0.173368094
40,0.010100816,0.072158279
41,0.016558561,0.124804488
42,0.03143867,0.253502479
43,0.004134343,0.030397674
44,0.020351086,0.165080248
45,0.022758162,0.18779428
46,0.019787615,0.159666488
47,0.010199029,0.082041747
48,0.013984273,0.10674247
49,0.019006923,0.151578014
50,0.016317666,0.126602796
51,0.018660402,0.159283429
52,0.011842907,0.077166329
53,0.010314057,0.063166443
54,0.011753843,0.072521704
55,0.00373249,0.029622338
56,0.019335156,0.142286098
57,0.013620723,0.106051477
58,0.022551265,0.186232588
59,0.017784232,0.133452363
60,0.008278964,0.07334184
61,0.030984906,0.201923205
62,0.003557672,0.030579031
63,0.008594369,0.062625972
64,0.024775961,0.163904574
65,0.019906973,0.147557531
66,0.02575258,0.193802965
67,0.01913813,0.152792597
68,0.003729983,0.029553742
69,0.013531612,0.101714214
70,0.015575346,0.132623612
71,0.018284258,0.152479667
72,0.006018661,0.039800007
73,0.021372957,0.153671918
74,0.005443032,0.047682987
75,0.013437551,0.087911271
76,0.016149545,0.089951455
77,0.004009713,0.023015081
78,0.001386622,0.011554112
79,0.013748993,0.11698593
80,0.025163354,0.182179553
81,0.024931211,0.233461604
82,0.021182949,0.169427954
83,0.015464134,0.100240294
84,0.015269955,0.128546929
85,0.014785151,0.115673904
86,0.00137531,0.011655076
87,0.012122644,0.09308065
88,0.025238944,0.180017148
89,0.024857773,0.166778458
90,0.013735705,0.08437234
91,0.011090274,0.069235497
92,0.021208562,0.148886947
93,0.014402643,0.096295723
94,0.011093837,0.09097925
95,0.008336641,0.058823265
96,0.014153061,0.121641591
97,0.018448122,0.166163312
98,0.022385346,0.17412283
99,0.011183827,0.091720588
100,0.025265234,0.157899832
101,0.024733739,0.163696654
102,0.004441229,0.032303563
103,0.01515869,0.119325261
104,0.011208511,0.091860168
105,0.013947864,0.10456564
106,0.01976852,0.159534495
107,0.022743013,0.187699348
108,0.020520248,0.166757546
109,0.011542969,0.074783087
110,0.021937452,0.112960731
111,0.026971772,0.173233721
112,0.012541156,0.096221619
113,0.01075319,0.101034831
114,0.000935241,0.006278816
115,0.017407326,0.120871315
